dataset,relation,keep,edge_seed,seed,model,norm,init,layers,n_nodes,n_edges,auc,auprc,mad,mad_random,train_time_s,mean_degree,deg_p50,deg_p90,deg_max,isolated_frac,edge_homophily,n_components,largest_cc_frac,boot_auc_mean,boot_auc_std,boot_auprc_mean,boot_auprc_std,f1@90,prec@90,rec@90,f1@99,prec@99,rec@99,f1@99.9,prec@99.9,rec@99.9
yelp,net_rsr,0.05,2,3,SAGE,none,default,2,45954,340274,0.7997667311761406,0.45799788538186004,0.09243623912334442,0.12593279778957367,2.4,7.404665470123291,7.0,15.0,39.0,0.06497801840305328,0.7720954418182373,4208,0.010140575357966662,0.8005669889539577,0.00550684171649945,0.45986721534933905,0.012252431110358357,0.4166666666666667,0.5108695652173914,0.35179640718562877,0.10224089635854341,0.7934782608695652,0.05464071856287425,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.05,2,1,SAGE,graph,default,2,45954,340274,0.8411677790041099,0.5390636987979328,0.338707834482193,0.43485090136528015,4.2,7.404665470123291,7.0,15.0,39.0,0.06497801840305328,0.7720954418182373,4208,0.010140575357966662,0.8414344641215117,0.005759267906816568,0.5390397607716108,0.014067901304698203,0.4867021276595745,0.5967391304347827,0.41092814371257486,0.11064425770308123,0.8586956521739131,0.05913173652694611,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.05,2,2,SAGE,graph,default,2,45954,340274,0.8508591587192212,0.5674577385911501,0.34477490186691284,0.4329175353050232,4.1,7.404665470123291,7.0,15.0,39.0,0.06497801840305328,0.7720954418182373,4208,0.010140575357966662,0.8503362560169292,0.005284329061406571,0.566326070735836,0.014597265384711225,0.5106382978723404,0.6260869565217392,0.4311377245508982,0.11904761904761904,0.9239130434782609,0.06362275449101797,0.014858841010401188,1.0,0.0074850299401197605
yelp,net_rsr,0.05,2,3,SAGE,graph,default,2,45954,340274,0.8384745592826568,0.5360624389206647,0.30522260069847107,0.40307098627090454,4.2,7.404665470123291,7.0,15.0,39.0,0.06497801840305328,0.7720954418182373,4208,0.010140575357966662,0.8384457594842235,0.005142771292675554,0.5367154857774902,0.015024183568969115,0.4858156028368794,0.5956521739130435,0.4101796407185629,0.11064425770308123,0.8586956521739131,0.05913173652694611,0.01337295690936107,0.9,0.006736526946107785
yelp,net_rsr,0.05,3,1,GCN,none,default,2,45954,340274,0.670876916609754,0.2790455701180795,0.0027084497269243,0.03315943852066994,4.3,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.6715420828611595,0.007084509067503586,0.2802002774926065,0.011108054254243459,0.2969858156028369,0.3641304347826087,0.25074850299401197,0.06162464985994398,0.4782608695652174,0.03293413173652695,0.008915304606240713,0.6,0.004491017964071856
yelp,net_rsr,0.05,3,2,GCN,none,default,2,45954,340274,0.6641401991078942,0.2745303407226086,0.0030652014538645744,0.03802599385380745,4.3,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.6617166774012118,0.008170732128178728,0.27236368779198,0.011961600065825884,0.28812056737588654,0.3532608695652174,0.2432634730538922,0.06722689075630252,0.5217391304347826,0.03592814371257485,0.01188707280832095,0.8,0.005988023952095809
yelp,net_rsr,0.05,3,3,GCN,none,default,2,45954,340274,0.6672033828219324,0.27559689706925916,0.0036851917393505573,0.04252436384558678,4.3,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.6687354182182141,0.007818952786204916,0.27776607189384683,0.011831188692768276,0.29343971631205673,0.35978260869565215,0.24775449101796407,0.058823529411764705,0.45652173913043476,0.03143712574850299,0.008915304606240713,0.6,0.004491017964071856
yelp,net_rsr,0.05,3,1,GCN,graph,default,2,45954,340274,0.7384500823963073,0.3653075221594212,0.05469031259417534,0.3496187627315521,6.0,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.7383180347959049,0.006829455763723373,0.36675287820916014,0.013791685357229196,0.35726950354609927,0.4380434782608696,0.30164670658682635,0.08403361344537816,0.6521739130434783,0.04491017964071856,0.005943536404160475,0.4,0.0029940119760479044
yelp,net_rsr,0.05,3,2,GCN,graph,default,2,45954,340274,0.734197449678037,0.363584131069805,0.059328343719244,0.32595252990722656,6.0,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.7324288615474116,0.006789885910554245,0.36090928766457575,0.013723362818197441,0.3608156028368794,0.4423913043478261,0.3046407185628742,0.07563025210084033,0.5869565217391305,0.040419161676646706,0.010401188707280832,0.7,0.005239520958083832
yelp,net_rsr,0.05,3,3,GCN,graph,default,2,45954,340274,0.7345194412600462,0.35941299514434105,0.05403491109609604,0.3060055673122406,6.0,7.404665470123291,7.0,15.0,37.0,0.0634547621011734,0.7696444392204285,4062,0.010140575357966662,0.734733504470542,0.0077284970435066045,0.36055789352535356,0.015189327116697694,0.3617021276595745,0.4434782608695652,0.30538922155688625,0.07703081232492998,0.5978260869565217,0.04116766467065868,0.01188707280832095,0.8,0.005988023952095809
